"323","ACC","201","Principles of Accounting I","Advent to economic and managerial accounting. observe of the language of business for each the user and preparer of accounting records. subjects include the accounting cycle, training of economic statements and their use, accounting for production issues, budgeting and choices making the use of accounting statistics.","U","Grade of C or better in CSC 101 or 102 or ISC 110","3"
"324","ACC","202","Principles of Accounting II","Creation to economic and managerial accounting. have a look at the language of enterprise for each person and preparer of accounting records. subjects encompass the accounting cycle, the practice of financial statements, and their use, accounting for manufacturing worries, budgeting, and decisions making the use of accounting information.","U","Grade of C or better in ACC 201 ","3"
"325","ACC","301","Intermediate Accounting I","Accounting principles and standards. troubles of earnings dedication and asset dimension and valuation. consists of: evaluation of cash, price range, flow, receivables, inventories, plant property and system, and intangible value of the firm.","U","Grade of C or better in ACC 202","3"
"326","ACC","302","Intermediate Accounting II","Accounting ideas and requirements concerning short and long term liabilities, and fairness accounting. also addresses profits tax allocation, accounting for pensions and leases.","U","Grade of C or better in ACC 301","3"
"327","ACC","305","Accounting Information Systems","This course develops the ability to recognize accounting records as a system to be managed. A trendy overview of accounting records structures is furnished. laptop era is mentioned, specifically with respect to manipulate problems. Database control and transaction system are mentioned. systems safety troubles are addressed.","U","Grade of C or better in ACC 202","3"
"328","ACC","310","Cost Accounting","Simple cost accounting concepts and records are mentioned when it comes to the selection-making process. subjects encompass: price accumulation, budgeting, standards, duty accounting, applicable costing, direct costing, joint charges, distribution costing, and wreck-even analysis.","U","Grade of C or better in ACC 302","3"
"329","ACC","315","International Accounting Concepts","This course is designed to provide college students with information on global accounting troubles critical to the education of a properly-rounded, ready university pupil. students need to have the ability to understand the language in which 21st Century corporations talk in a worldwide market. The route will explore the range in accounting standards and practices and the roles of lifestyle, faith, and other social mores that can have fashioned them.","U","Grade of C or better in ACC 202","3"
"330","ACC","320","Managerial Accounting","A course concerned with the particular use of accounting structures and accounting tools for managerial choice-making. a few emphases is located on cutting-edge methods of accounting e.g., pc accounting and the use of management strategies to educate the decision-making facility.","U","Grade of C or better in ACC 310","3"
"331","ACC","321","Accounting as a Management Tool","This course includes simple accounting and financial standards from the development of accounting information to uses of these facts; in making plans, controlling, and evaluating the performance of an enterprise. Emphasis is on the company form of enterprise.","U","None","3"
"332","ACC","330","Federal Tax Accounting I","This course is an introductory course in federal earnings taxes. It covers the tax law as set forth inside the internal sales Code, Treasury policies, IRS rulings and pronouncements, and courtroom decisions. particular emphasis is positioned on the taxation of character taxpayers. topics consist of gross earnings, concepts of revenue reputation and tax accounting, commercial enterprise deductions, losses, depreciation, itemized deductions, tax shelter loss limitations, tax credit, and the tax effects of property transactions.","U","Grade of C or better in ACC 301 or FIN 340","3"
